source_id,nss_solution_type,K1_kms,period_d,period_yr,eccentricity,M_host_assumed_msun,M2_sini_msun_assumed,M2_sini_mjup_assumed,significance,PMaRAH2G2,PMaDEH2G2,snrPMaH2G2,dVt,e_dVt
1224588432716924544,SB1,2.692352689363389,60.40553449805803,0.16538134017264347,0.4969135572456909,0.7,0.03506701206552126,36.744312369203655,32.70365,0.506,0.232,2.52,35.75,37.58
4878577214643322880,SB1,3.110231303146516,37.815464583515514,0.10353309947574404,0.03752538115902162,0.7,0.040086848257126946,42.00425378428502,28.138823,0.005,-0.045,0.43,69.99,40.05
6459416790670371712,SB1,2.8947186123388837,76.39127419064836,0.20914791017289078,0.2367429435347238,0.7,0.04610333461631007,48.30851642673126,27.153185,-0.065,-0.199,1.92,43.61,17.85
488408360758121856,SB1,1.2979686238741837,107.45912789673383,0.29420705789660184,0.2604553762478046,0.7,0.022530224485755555,23.607874109891807,27.028,0.002,0.112,1.1,127.56,59.47
1181993180456516864,SB1,2.001402549938836,271.4021890197814,0.7430586968371838,0.11994586767063933,0.7,0.04986763732429209,52.25287057632039,22.858826,0.913,0.714,6.36,129.91,27.3
5428084706405323648,SB1,1.31652812979034,66.32381846804071,0.18158471859833186,0.05919890456823533,0.7,0.02007143010716284,21.031472432730272,22.292826,-0.131,0.086,1.45,244.98,156.39
4852641590769468288,SB1,0.7033913533844004,438.9354444709657,1.2017397521450122,0.24693109546899952,0.7,0.01953472392909834,20.46909490765241,15.47005,0.359,-0.025,3.53,1512.32,197.15
2268491504001786624,SB1,1.831001148308957,65.12919774332818,0.17831402530685334,0.049667095887327,0.7,0.02796323707550086,29.300754681821143,15.1237335,0.754,-0.18,2.14,75.45,77.1
6841075418612668160,SB1,1.427408833495588,347.9884551691475,0.9527404658977345,0.17673586015003293,0.7,0.03789775556949158,39.71045397695267,15.112379,0.554,0.102,2.15,189.67,18.5
6074219655134724352,SB1,2.849556386471928,39.99738322137937,0.10950686713587782,0.25261046134629705,0.7,0.03610202760008033,37.828834028413105,14.53793,0.321,-0.138,2.34,137.12,31.57
6577894906640453888,SB1,3.8424295594106344,38.33298270256919,0.10494998686535029,0.19899420571508397,0.7,0.0491873855778816,51.54008151367939,14.34638,-0.102,0.137,1.41,66.13,58.61
4442407789492866816,SB1,0.6465066806865453,418.67834198634324,1.146278828162473,0.3993313412829489,0.7,0.01667747886708245,17.47518413824007,14.055089,-0.057,-0.026,0.55,373.52,213.84
5015783552686847488,SB1,0.6375428028631092,305.4685672966567,0.8363273574172668,0.10709493179759748,0.7,0.016046901636580346,16.814445587513703,13.55298,-0.002,0.017,0.22,124.05,46.33
6179304349384693248,SB1,0.7392198993951258,310.31864057315454,0.8496061343549748,0.3521913717302207,0.7,0.017632905894591145,18.476310469709777,13.542758,0.03,0.152,0.85,433.31,101.75
5785339952948309504,SB1,3.0778823068342853,101.49704040062137,0.27788375195241993,0.27699255735303624,0.7,0.05365636250368165,56.22281535554598,13.452284,-0.238,0.01,2.37,19.53,35.68
5750914621834859776,SB1,0.9898127109209823,331.45651022110246,0.9074784674089048,0.09567145280397812,0.7,0.025864605766452317,27.10174313719942,13.426995,-0.082,0.192,1.92,97.02,17.78
1556194336425572480,SB1,0.6581426518248615,465.5522368458551,1.2746125580995349,0.20203567038667494,0.7,0.018826941300897973,19.727458125724787,13.384812,0.076,0.03,0.93,142.77,103.27
4677073601271449856,SB1,0.6045969525774362,659.6247774732616,1.8059542162170064,0.41742235727533283,0.7,0.018010072314148997,18.87151724437063,13.346143,0.061,-0.073,0.88,344.4,291.5
5930769362358067584,SB1,1.1195188547726238,62.75421248627713,0.171811670051409,0.21769745144654884,0.7,0.016326015556198902,17.106909885010573,13.3086815,0.57,0.425,3.59,6684.42,507.41
4915518984268346624,SB1,0.5626401880216948,385.5605639299807,1.0556072934427945,0.2208759467028021,0.7,0.014998262935078863,15.715649147759663,13.204444,0.131,-0.006,1.39,260.55,180.51
469919007590613888,SB1,1.8630853374053664,62.972949499240045,0.1724105393545244,0.27415127103457565,0.7,0.027068965974410553,28.36370944341253,13.0683975,1.061,-0.069,6.61,160.93,13.53
5026773274484687616,SB1,2.1860881912607226,135.91922949892205,0.37212656947001244,0.4196363883108179,0.7,0.039171205185220465,41.0448143261993,13.050691,-0.015,-0.032,0.32,49.76,47.68
477009654993097216,SB1,1.281366794514506,1074.5533545516723,2.941966747574736,0.43065789804820764,0.7,0.045747660230279485,47.93582967721255,12.865202,5.366,-1.722,58.64,2393.38,26.62
6394325599226542720,SB1,0.5305923366739911,281.9308280872644,0.771884539595522,0.07035277570241107,0.7,0.01300861873689828,13.630837707739579,12.759372,-0.062,-0.035,0.76,47.49,100.55
2852009329954206976,SB1,2.120967912927887,63.01199192294893,0.17251743168500733,0.1280329774323546,0.7,0.031927765341318845,33.45491143528414,12.424496,1.347,-4.757,9.14,881.2,112.64
4888099775613949440,SB1,0.6816818213060266,414.10028371296266,1.1337447877151614,0.03867437907693086,0.7,0.019139813007007733,20.0552948880729,12.35785,-0.084,0.173,1.5,392.41,359.25
5497364766569973632,SB1,0.8674893078681856,1033.4505887798925,2.8294335079531625,0.3994571993895816,0.7,0.030632475077178766,32.097665771313025,12.30765,1.122,6.711,59.78,5163.0,35.75
210771126302026496,SB1,2.1569087482299207,40.60320150531846,0.11116550720141946,0.10329083764230784,0.7,0.028025763422235193,29.366271744165058,12.155457,0.337,-0.206,3.16,808.71,157.58
1749443709850558336,SB1,0.5589603219214119,540.3157193773133,1.4793038175970246,0.3249122549572896,0.7,0.016186699264055963,16.960929915372596,12.153432,-0.03,-0.022,0.27,360.92,222.13
1325378533330472576,SB1,0.5818518455319702,204.33873057552677,0.5594489543477803,0.422751657374319,0.7,0.011626443198378331,12.182550934929973,12.10512,0.814,-2.222,26.12,1788.99,29.76
4966414930843912320,SB1,1.886326964650076,168.59866577241445,0.46159798979442695,0.2831253561272886,0.7,0.038344292663721316,40.17834951490604,12.002423,0.495,1.751,6.04,58.76,9.8
2920628927232031104,SB1,0.5042854712669732,495.19741465760154,1.355776631506096,0.16530688880833705,0.7,0.014772993924500242,15.479605230578,11.740245,0.019,-0.053,0.58,355.13,136.64
2823180139370490240,SB1,0.6518555496933667,676.972753181187,1.8534503851640987,0.3755001864967834,0.7,0.020014090348804834,20.9713900399577,11.720266,-0.029,0.001,0.24,157.47,235.93
5811053234948685312,SB1,0.5469496056598145,63.14988335592754,0.1728949578533266,0.07384390744122313,0.7,0.00810437072436843,8.49201320305293,11.620649,-0.201,-1.706,6.85,58.03,7.26
5775470839654221440,SB1,0.6369927354500169,545.5464465591584,1.4936247681291128,0.24223500867593817,0.7,0.019034923786460704,19.94538868115852,11.619938,-0.203,0.104,1.83,447.03,197.56
5543162140296730752,SB1,0.9868881636091462,989.434524216558,2.7089240909419794,0.5463148733468643,0.7,0.031402515804256584,32.904538537087554,11.513779,0.092,0.153,1.91,578.04,29.41
1592515053781393920,SB1,0.5668692015220174,498.4169106885252,1.364591131248529,0.11918712542371143,0.7,0.016785595612680764,17.588472246881416,11.491037,0.03,-0.148,1.62,293.09,89.49
6615678867812677120,SB1,0.8398896168964446,392.4792715408931,1.074549682521268,0.45078730582313536,0.7,0.02072283054199578,21.714030188441384,11.426705,-0.707,0.076,4.06,1333.0,142.62
6417800035042636544,SB1,0.5286891469057566,328.3475806265144,0.8989666820712235,0.17055113294196286,0.7,0.013476959390416298,14.121579697274045,11.287761,-0.051,0.063,0.76,410.88,151.21
4317681836183366656,SB1,0.6747856482412887,556.1624317749655,1.5226897516083928,0.3479103441379391,0.7,0.019621103010608997,20.559605611765498,11.283979,-0.039,-0.038,0.46,388.71,126.3
6416088439035175424,SB1,0.5874716799039619,493.81702017615504,1.351997317388515,0.08823061854604612,0.7,0.017408440168200496,18.241108258832288,11.126168,-0.023,0.094,0.76,115.81,123.83
3710786979933623424,SB1,0.5067231786190842,441.08248796136104,1.2076180368551979,0.2760292076097374,0.7,0.013908063859386045,14.573304447645889,11.067956,-0.188,0.112,1.44,408.74,400.62
6701360407357600128,SB1,0.5544836280594307,419.2281397166569,1.1477840923111757,0.41349258516176457,0.7,0.014178507581729283,14.856683841176844,11.0038,0.105,-0.054,0.79,271.78,212.58
3175994797745347712,SB1,0.6515651237451278,559.8754937311886,1.5328555612079087,0.33086428003360957,0.7,0.019103376628746102,20.017115710960628,10.957564,0.069,0.072,1.03,240.11,154.08
2977653860852113152,SB1,0.5558059955419378,863.7392806558746,2.3647892694206014,0.14834214922503078,0.7,0.01974428645436636,20.688681078123384,10.923729,0.197,0.008,2.04,199.2,108.68
1846430531030410496,SB1,0.7838831887620044,61.99941457293619,0.16974514599024282,0.2241597748467741,0.7,0.011315248689106784,11.856471591902695,10.837909,1.415,-2.719,13.59,1715.87,61.09
6454395870822867456,SB1,0.5588974140400826,665.1504837868229,1.821082775597051,0.1946893628690325,0.7,0.01802089208772071,18.882854541632803,10.807087,0.003,-0.078,0.74,258.86,180.16
2962674458032734976,SB1,0.7695385850451973,44.503321893583454,0.12184345487634074,0.6055208132252577,0.7,0.008097423404846312,8.484733584299772,10.793207,0.095,0.095,1.33,148.39,193.5
5236447324439370496,SB1,0.5678375125107091,664.449300379682,1.8191630400538863,0.05940987116829556,0.7,0.018637476021156344,19.528930477890487,10.720908,-0.076,0.169,1.91,230.41,196.61
6355007918114462720,SB1,0.5574228440860833,391.4559521981263,1.0717479868531863,0.11925721092096683,0.7,0.015206400877696915,15.933742595959679,10.691582,-0.043,0.006,0.44,93.69,136.89
413234097927037184,SB1,0.5782883074501846,564.2221683987619,1.5447561078679313,0.23164267967644467,0.7,0.01749721246436258,18.334126648132646,10.643511,0.135,-0.136,1.83,155.9,84.93
2846469822870413696,SB1,1.7826386307573563,569.4593329010168,1.55909468282277,0.5845878661337325,0.7,0.04632375535552782,48.53948017349517,10.593684,1.873,-1.265,2.42,542.65,98.26
3593243036530582528,SB1,1.0566850926697238,643.0219336819267,1.760498107274269,0.05545685867641689,0.7,0.03482669099346331,36.4924964310764,10.390385,0.48,-0.244,2.51,107.12,50.2
1477665532341347712,SB1,0.9584211471648731,776.3431626744847,2.1255117390129628,0.35353090404822196,0.7,0.031414359116261864,32.91694832994344,10.36959,1.33,-0.83,11.17,496.2,67.26
2985440739638761856,SB1,0.8542440123304702,152.93716864371453,0.41871914755294876,0.2803433417760883,0.7,0.016490073317020175,17.278814739605696,10.30091,-0.59,-0.113,1.85,332.62,59.15
4742988292563801856,SB1,0.6476378086609386,393.4250631591345,1.077139118847733,0.4010083321269543,0.7,0.01634565460716441,17.127488297051013,10.198653,0.133,-0.13,1.87,24.61,136.13
1093731185911782016,SB1,0.537888137860676,913.0772023895895,2.4998691372747146,0.4355616736355991,0.7,0.017683679451153445,18.5295125908068,10.156767,-2.717,-3.119,39.48,3032.3,82.92
1872939103546224640,SB1,1.1693606767082083,63.068478218016594,0.17267208273242052,0.2656350979405205,0.7,0.0168809856157493,17.688424876523786,10.13823,1.01,1.22,10.79,3804.27,169.82
4459874940449780864,SB1,0.5750151000179186,301.8508814676495,0.8264226734227228,0.09647423500859584,0.7,0.014409468602511006,15.098692024732863,10.104426,0.074,-0.008,0.76,42.22,153.45
1984467962424425344,SB1,1.2082357784948088,63.483184644837536,0.17380748704952098,0.22205885067332953,0.7,0.017692391160868556,18.538640992805913,10.097129,0.217,-0.719,7.98,2074.07,151.02
6347711460169865088,SB1,0.5165768202764001,425.8020474862172,1.1657824708726001,0.1209510222733167,0.7,0.014479970236382733,15.17256584245881,10.028902,0.037,-0.034,0.52,310.68,104.81
